round_epochs,loss,auc,val_loss,val_auc,activation,first_neuron,first_dropout,second_neuron,second_dropout,batch_size
10,0.06225834786891937,0.9567190408706665,0.1914978176355362,0.7002054452896118,relu,50,0.3,50,0.3,64
10,0.05324669927358627,0.9639438986778259,0.3087259829044342,0.7069557309150696,relu,50,0.3,50,0.3,128
10,0.08107359707355499,0.9431350231170654,0.24119839072227478,0.6625011563301086,relu,50,0.3,50,0.5,64
10,0.07173427939414978,0.9507774114608765,0.213824063539505,0.7339708209037781,relu,50,0.3,50,0.5,128
10,0.05241094157099724,0.9654558300971985,0.2651247978210449,0.700963020324707,relu,50,0.3,100,0.3,64
10,0.06975390762090683,0.9556092023849487,0.3247157633304596,0.6899771690368652,relu,50,0.3,100,0.3,128
10,0.07533283531665802,0.9555402994155884,0.2021198272705078,0.7418028116226196,relu,50,0.3,100,0.5,64
10,0.06513574719429016,0.960498034954071,0.25452476739883423,0.6629119515419006,relu,50,0.3,100,0.5,128
10,0.049520716071128845,0.9771239757537842,0.24619273841381073,0.7421496510505676,relu,50,0.3,511,0.3,64
10,0.06628048419952393,0.9714875817298889,0.24149249494075775,0.7311911582946777,relu,50,0.3,511,0.3,128
10,0.0755106508731842,0.9410125017166138,0.2732510268688202,0.6762984991073608,relu,50,0.3,511,0.5,64
10,0.05542418360710144,0.971286952495575,0.2777238190174103,0.7301278710365295,relu,50,0.3,511,0.5,128
10,0.07750270515680313,0.9510555267333984,0.22136341035366058,0.6760520339012146,relu,50,0.5,50,0.3,64
10,0.08312825113534927,0.9302117824554443,0.16985803842544556,0.7334824800491333,relu,50,0.5,50,0.3,128
10,0.11049292981624603,0.9206783771514893,0.28334593772888184,0.6843587756156921,relu,50,0.5,50,0.5,64
10,0.09759453684091568,0.9261946082115173,0.21132807433605194,0.7087219953536987,relu,50,0.5,50,0.5,128
10,0.08995208889245987,0.9250696301460266,0.19219093024730682,0.6932359933853149,relu,50,0.5,100,0.3,64
10,0.07909835875034332,0.9464948773384094,0.18553099036216736,0.754650890827179,relu,50,0.5,100,0.3,128
10,0.08842169493436813,0.9491022229194641,0.2616858184337616,0.6809357404708862,relu,50,0.5,100,0.5,64
10,0.08746002614498138,0.9369468688964844,0.20308279991149902,0.7568278908729553,relu,50,0.5,100,0.5,128
10,0.07515990734100342,0.9512842893600464,0.21088816225528717,0.6998996734619141,relu,50,0.5,511,0.3,64
10,0.07530670613050461,0.9556568264961243,0.3405485451221466,0.6504335403442383,relu,50,0.5,511,0.3,128
10,0.07565062493085861,0.9411460161209106,0.1986824870109558,0.7155590653419495,relu,50,0.5,511,0.5,64
10,0.0750632956624031,0.9536033272743225,0.20034968852996826,0.7545092105865479,relu,50,0.5,511,0.5,128
10,0.076199971139431,0.937576949596405,0.38485297560691833,0.6974759697914124,relu,100,0.3,50,0.3,64
10,0.055623143911361694,0.9682621955871582,0.2696325182914734,0.6397535800933838,relu,100,0.3,50,0.3,128
10,0.07325859367847443,0.9412216544151306,0.22687861323356628,0.7519990801811218,relu,100,0.3,50,0.5,64
10,0.0852723941206932,0.9299601316452026,0.196133092045784,0.737147331237793,relu,100,0.3,50,0.5,128
10,0.07103388011455536,0.9399155378341675,0.22278259694576263,0.7323916554450989,relu,100,0.3,100,0.3,64
10,0.059534694999456406,0.9512799382209778,0.2086428999900818,0.7506710290908813,relu,100,0.3,100,0.3,128
10,0.06517987698316574,0.9600924849510193,0.2082945704460144,0.7331720590591431,relu,100,0.3,100,0.5,64
10,0.07709870487451553,0.9377385377883911,0.22832278907299042,0.7420173287391663,relu,100,0.3,100,0.5,128
10,0.06807947903871536,0.9444352984428406,0.20653878152370453,0.6912688612937927,relu,100,0.3,511,0.3,64
10,0.051248956471681595,0.969394862651825,0.2649720311164856,0.673911452293396,relu,100,0.3,511,0.3,128
10,0.06248311698436737,0.9566944241523743,0.2527273893356323,0.6654495596885681,relu,100,0.3,511,0.5,64
10,0.05159035325050354,0.9683429002761841,0.2685734033584595,0.7260292172431946,relu,100,0.3,511,0.5,128
10,0.06952393054962158,0.9586256146430969,0.2223997861146927,0.7057508230209351,relu,100,0.5,50,0.3,64
10,0.0655147060751915,0.9528319239616394,0.2582300901412964,0.6976266503334045,relu,100,0.5,50,0.3,128
10,0.0847255289554596,0.9357970952987671,0.233530655503273,0.6540254950523376,relu,100,0.5,50,0.5,64
10,0.07729754596948624,0.9530096054077148,0.24668218195438385,0.7066957354545593,relu,100,0.5,50,0.5,128
10,0.07776341587305069,0.9330607056617737,0.2760520875453949,0.6513509750366211,relu,100,0.5,100,0.3,64
10,0.06680039316415787,0.9600125551223755,0.2282591164112091,0.7221999168395996,relu,100,0.5,100,0.3,128
10,0.09245384484529495,0.9357947707176208,0.2780381441116333,0.6418302059173584,relu,100,0.5,100,0.5,64
10,0.07294613122940063,0.9480698108673096,0.1913793981075287,0.7152577638626099,relu,100,0.5,100,0.5,128
10,0.07192850857973099,0.9520070552825928,0.2063947170972824,0.6993198990821838,relu,100,0.5,511,0.3,64
10,0.05664650350809097,0.9622642993927002,0.19559821486473083,0.7432177662849426,relu,100,0.5,511,0.3,128
10,0.06163771077990532,0.9618774652481079,0.24215351045131683,0.6997491121292114,relu,100,0.5,511,0.5,64
10,0.07175229489803314,0.9531992673873901,0.25020110607147217,0.7463212609291077,relu,100,0.5,511,0.5,128
10,0.052981410175561905,0.9633229970932007,0.2532508969306946,0.7342172265052795,relu,511,0.3,50,0.3,64
10,0.04295622184872627,0.9771129488945007,0.2821934223175049,0.6828388571739197,relu,511,0.3,50,0.3,128
10,0.05028873309493065,0.9769045114517212,0.34960851073265076,0.6981560587882996,relu,511,0.3,50,0.5,64
10,0.0472189299762249,0.976661205291748,0.3428093492984772,0.6924052834510803,relu,511,0.3,50,0.5,128
10,0.05504678562283516,0.9580490589141846,0.2444518655538559,0.6830124258995056,relu,511,0.3,100,0.3,64
10,0.0504164919257164,0.964978814125061,0.22725093364715576,0.6988453269004822,relu,511,0.3,100,0.3,128
10,0.05406608060002327,0.9564162492752075,0.28611645102500916,0.6947693824768066,relu,511,0.3,100,0.5,64
10,0.057415734976530075,0.9496949911117554,0.2702901065349579,0.6468416452407837,relu,511,0.3,100,0.5,128
10,0.04757796600461006,0.9683071970939636,0.22809740900993347,0.7178046107292175,relu,511,0.3,511,0.3,64
10,0.04156752675771713,0.9668402671813965,0.24916806817054749,0.7328299283981323,relu,511,0.3,511,0.3,128
10,0.06191803142428398,0.9458741545677185,0.23142343759536743,0.7214559316635132,relu,511,0.3,511,0.5,64
10,0.05150295048952103,0.963270366191864,0.20349785685539246,0.6993062496185303,relu,511,0.3,511,0.5,128
10,0.060429997742176056,0.9562607407569885,0.2684972286224365,0.7009813189506531,relu,511,0.5,50,0.3,64
10,0.061866890639066696,0.9593985676765442,0.21815569698810577,0.7518758177757263,relu,511,0.5,50,0.3,128
10,0.07442431151866913,0.9462363719940186,0.2530139982700348,0.7179142832756042,relu,511,0.5,50,0.5,64
10,0.11532055586576462,0.9181150197982788,0.18339505791664124,0.7903468608856201,relu,511,0.5,50,0.5,128
10,0.05641084536910057,0.9631409645080566,0.2284410148859024,0.6603787541389465,relu,511,0.5,100,0.3,64
10,0.05441439524292946,0.9649430513381958,0.26177969574928284,0.7028936743736267,relu,511,0.5,100,0.3,128
10,0.062069278210401535,0.9521124362945557,0.24511556327342987,0.664924681186676,relu,511,0.5,100,0.5,64
10,0.055075664073228836,0.96248459815979,0.20551244914531708,0.7553354501724243,relu,511,0.5,100,0.5,128
10,0.052701435983181,0.9693514704704285,0.22134627401828766,0.6791054010391235,relu,511,0.5,511,0.3,64
10,0.05689293146133423,0.9524798393249512,0.1948656141757965,0.6669420599937439,relu,511,0.5,511,0.3,128
10,0.058750998228788376,0.9629999399185181,0.20114149153232574,0.6685303449630737,relu,511,0.5,511,0.5,64
10,0.07216576486825943,0.9358736276626587,0.1603846400976181,0.7636147141456604,relu,511,0.5,511,0.5,128
